# All ages are BC
# 
# Level: fragment, group of fragments, structure (frag., group, struct.)
# Type: type of artifact (Pottery, Brick, Baked Clay, Slag)
# Sampling: age distribution (Uniform, Gaussian)
# 2 last columns:
# when 0 0: no stratification at all
# when 0 1: fragments within a layer with no stratification in between, but with a stratification between the layers
# 
# 
#  Ref    level  type       age        dt      Int      sd  Samp. strat.
# 
jh27a frag. P -608.0 22.0000 74.9797 0.08000 U 0 
jh28a frag. P -608.0 22.0000 74.0464 0.08000 U 0 
jh55a frag. P -553.0 33.0000 70.7278 1.27000 U 0 
jh56a frag. P -553.0 33.0000 67.0980 0.12000 U 0 
jh57b frag. P -553.0 33.0000 66.7869 1.04000 U 0 
jh58b frag. P -460.0 60.0000 76.3279 1.18000 U 0 
jh58a frag. P -460.0 60.0000 75.6020 1.82000 U 0 
jh58h frag. P -460.0 60.0000 72.8019 1.21000 U 0 
jh58j frag. P -460.0 60.0000 68.1351 2.51000 U 0 
jh59l frag. P -300.0 100.000 72.9056 0.07000 U 0 
jh59e frag. P -300.0 100.000 69.1722 0.07000 U 0 
jh59h frag. P -300.0 100.000 62.1201 4.70000 U 0 
jh62a frag. P -150.0 10.0000 58.1793 0.10000 U 0 
jh65a frag. P -150.0 10.0000 57.8682 0.05000 U 0 
jh63a frag. P -150.0 10.0000 52.7866 2.89000 U 0 
SY01 group P -730.0 10.0000 72.4000 2.70000 U 0 
SY99 group P -1450.0 100.000 61.1000 1.30000 U 0 
SY03 group P -730.0 10.0000 78.3000 3.20000 U 0 
SY52 group P -1900.0 100.000 43.5000 1.80000 U 0 
SY79 group P -1775.0 25.0000 41.1000 4.40000 U 0 
SY78 group P -1725.0 25.0000 41.1000 2.00000 U 0 
SY50 group P -1600.0 25.0000 47.0000 2.80000 U 0 
SY51 group P -1600.0 25.0000 50.1000 2.00000 U 0 
SY49 group P -1475.0 75.0000 57.7000 2.20000 U 0 
SY36 group B -2050.0 100.000 47.2000 1.80000 U 0 
SY29 group B -2000.0 100.000 47.6000 2.20000 U 0 
SY33 group B -2000.0 100.000 49.3000 1.70000 U 0 
SY47 group P -1950.0 50.0000 48.0000 2.30000 U 0 
SY26 group B -1825.0 75.0000 41.0000 0.90000 U 0 
SY31 group B -1825.0 75.0000 38.4000 2.70000 U 0 
SY16 group P -1825.0 75.0000 42.5000 2.60000 U 0 
SY17 group P -1825.0 75.0000 43.8000 2.50000 U 0 
SY48 group P -1600.0 25.0000 52.9000 5.40000 U 0 
MR02 group B -2000.0 100.000 46.9000 2.30000 U 0 
MR11 group B -1750.0 100.000 42.9000 1.40000 U 0 
Lot05 group P -1150.0 50.0000 59.4000 3.70000 U 0 
TM01 group B -725.0 25.0000 71.6000 3.20000 U 0 
Lot25 group B -1775.0 25.0000 38.1000 2.30000 U 0 
Lot26 group B -1625.0 125.000 40.6000 1.00000 U 0 
MR15 group B -2000.0 100.000 45.9000 1.50000 U 0 
MR08 group B -1750.0 100.000 43.4000 0.90000 U 0 
Lot27 group P -1250.0 50.0000 56.2000 3.50000 U 0 
Lot28 group P -725.0 25.0000 73.5000 2.50000 U 0 
Lot29 group P -650.0 50.0000 74.9000 1.90000 U 0 
Lot31 group P -575.0 25.0000 69.1000 0.90000 U 0 
Lot09 group P -1625.0 125.000 50.8000 3.90000 U 0 
Lot19 group P -225.0 75.0000 57.3000 2.60000 U 0 
TM51 frag. P -1950.0 50.0000 51.0146 2.20000 U 0 
TM32 frag. P -2006.0 106.000 50.6266 2.80000 U 0 
TM72 frag. P -2006.0 106.000 41.4130 2.20000 U 0 
AT1 struct. C -1050.0 150.000 96.2050 7.01000 U 0 
KA1 struct. C -1765.0 65.0000 55.2211 1.35000 U 0 
KT1 struct. C -1750.0 20.0000 56.5670 1.92000 U 0 
KT3 struct. C -1892.5 57.5000 54.8866 12.1800 U 0 
KT4 struct. C -1892.5 57.5000 51.9053 4.26000 U 0 
KT5 struct. C -1892.5 57.5000 48.8767 7.19000 U 0 
KT8 struct. C -1892.5 57.5000 51.5635 1.75000 U 0 
KT13 struct. C -1892.5 57.5000 51.1838 5.10000 U 0 
